"Symbol";"BuyDate";"AgeDays";"BuyQuantity";"AdjustedBuyQuantity";"Quantity";"AdjustedQuantity";"BuyAmount";"Amount";"AmountPerShare";"AdjustedAmountPerShare"
"AAAA";"14.11.2019 17:13:14";"798";"20";"20";"20";"20";"1211,20";"1211,20";"60,56";"60,56"
"AAAA";"16.11.2019 15:23:23";"796";"20";"20";"20";"20";"1228,60";"1228,60";"61,43";"61,43"
"AAAA";"20.12.2019 15:34:31";"762";"6";"6";"6";"6";"361,86";"361,86";"60,31";"60,31"
"AAAA";"25.03.2020 15:36:12";"666";"15";"15";"15";"15";"1023,45";"1023,45";"68,23";"68,23"
"AAAA";"16.04.2020 16:48:12";"644";"11";"11";"11";"11";"814,00";"814,00";"74,00";"74,00"
"AAAA";"17.04.2020 13:55:28";"643";"7";"7";"7";"7";"519,89";"519,89";"74,27";"74,27"
"AAAA";"21.04.2020 15:42:16";"639";"10";"10";"10";"10";"757,50";"757,50";"75,75";"75,75"
"AAAA";"01.05.2020 14:48:20";"629";"10";"10";"10";"10";"732,30";"732,30";"73,23";"73,23"
"AAAA";"17.11.2020 14:46:03";"429";"30";"30";"30";"30";"2565,30";"2565,30";"85,51";"85,51"
"AAAC";"16.11.2019 15:12:53";"796";"15";"60";"15";"60";"1709,70";"1709,70";"113,98";"28,495"
"AAAC";"04.12.2019 15:42:08";"778";"4";"16";"4";"16";"455,44";"455,44";"113,86";"28,465"
"AAAC";"17.12.2019 15:06:48";"765";"1";"4";"1";"4";"104,81";"104,81";"104,81";"26,2025"
"AAAC";"20.12.2019 15:32:41";"762";"5";"20";"5";"20";"534,75";"534,75";"106,95";"26,7375"
"AAAC";"20.12.2019 15:33:21";"762";"5";"20";"5";"20";"534,35";"534,35";"106,87";"26,7175"
"AAAC";"25.03.2020 15:36:46";"666";"4";"16";"4";"16";"495,88";"495,88";"123,97";"30,9925"
"AAAC";"17.04.2020 13:55:12";"643";"5";"20";"5";"20";"659,45";"659,45";"131,89";"32,9725"
"AAAC";"21.04.2020 15:40:32";"639";"8";"32";"8";"32";"1075,92";"1075,92";"134,49";"33,6225"
"AAAC";"01.05.2020 14:49:04";"629";"6";"24";"6";"24";"829,32";"829,32";"138,22";"34,555"
"AAAC";"17.11.2020 14:45:45";"429";"50";"50";"50";"50";"2401,50";"2401,50";"48,03";"48,03"
"AAAE";"22.11.2019 17:15:20";"790";"50";"50";"50";"50";"1079,50";"1079,50";"21,59";"21,59"
"AAAE";"25.12.2019 16:24:58";"757";"10";"10";"10";"10";"212,40";"212,40";"21,24";"21,24"
"AAAE";"16.04.2020 16:51:52";"644";"24";"24";"24";"24";"671,28";"671,28";"27,97";"27,97"
"AAAF";"30.11.2019 15:39:43";"782";"20";"20";"20";"20";"2287,80";"2287,80";"114,39";"114,39"
"AAAF";"16.04.2020 16:49:55";"644";"6";"6";"6";"6";"794,40";"794,40";"132,40";"132,40"
"AAAF";"01.05.2020 14:50:46";"629";"2";"2";"2";"2";"274,20";"274,20";"137,10";"137,10"
"AAAG";"16.11.2019 15:24:48";"796";"20";"20";"20";"20";"1728,40";"1728,40";"86,42";"86,42"
"AAAJ";"07.10.2020 13:29:34";"470";"0,00156806";"0,00156806";"0,00156806";"0,00156806";"0,3599952148";"0,3599952148";"229,58";"229,58"
"AAAJ";"20.10.2020 16:24:48";"457";"13";"13";"13";"13";"3387,93";"3387,93";"260,61";"260,61"
"AAAJ";"24.10.2020 17:14:05";"453";"11";"11";"11";"11";"3410,11";"3410,11";"310,01";"310,01"
"AAAJ";"24.10.2020 17:16:26";"453";"11";"11";"11";"11";"3422,54";"3422,54";"311,14";"311,14"
"AAAK";"30.11.2019 15:44:24";"782";"3";"3";"3";"3";"1635,45";"1635,45";"545,15";"545,15"
"AAAK";"20.12.2019 15:31:10";"762";"2";"2";"2";"2";"965,74";"965,74";"482,87";"482,87"
"AAAK";"10.06.2020 11:55:27";"590";"1,89861401";"1,89861401";"1,89861401";"1,89861401";"1080,0075934484";"1080,0075934484";"568,84";"568,84"
"AAAQ";"04.12.2019 15:50:09";"778";"5";"5";"5";"5";"615,60";"615,60";"123,12";"123,12"
"AAAQ";"23.01.2020 17:52:15";"728";"4";"4";"4";"4";"386,24";"386,24";"96,56";"96,56"
"AAAT";"04.12.2019 15:48:08";"778";"22";"22";"8";"8";"1672,44";"608,15999999999999999999999994";"76,02";"76,02"
"AAAT";"23.01.2020 17:51:21";"728";"6";"6";"6";"6";"375,96";"375,96";"62,66";"62,66"
"AAAU";"29.05.2020 17:15:35";"601";"1";"1";"1";"1";"29,45";"29,45";"29,45";"29,45"
"AAAW";"25.09.2020 13:59:51";"482";"1";"1";"1";"1";"55,08";"55,08";"55,08";"55,08"
